timestamp,confirmed,recovered,deaths,newConfirmed,newDeaths,newRecovered,growthRate,movingAvg,doublingTime,Days
03-09-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
03-10-2020,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0,1
03-11-2020,60.0,0.0,0.0,13.0,0.0,0.0,0.2765957446808511,0.0,0,2
03-12-2020,73.0,0.0,0.0,13.0,0.0,0.0,0.21666666666666667,0.0,0,3
03-13-2020,82.0,10.0,2.0,9.0,2.0,10.0,0.1232876712328767,0.0,0,4
03-14-2020,84.0,10.0,2.0,2.0,0.0,0.0,0.024390243902439025,0.0,0,5
03-15-2020,110.0,13.0,2.0,26.0,0.0,3.0,0.30952380952380953,0.13578059085809185,5,6
03-16-2020,114.0,13.0,2.0,4.0,0.0,0.0,0.03636363636363636,0.14097539605289705,5,7
03-17-2020,137.0,14.0,3.0,23.0,1.0,1.0,0.20175438596491227,0.16979745119074166,4,8
03-18-2020,151.0,14.0,3.0,14.0,0.0,0.0,0.10218978102189781,0.14488231352517691,5,9
03-19-2020,173.0,20.0,4.0,22.0,1.0,6.0,0.1456953642384106,0.13474355603542607,5,10
03-20-2020,223.0,23.0,4.0,50.0,0.0,3.0,0.28901734104046245,0.15841922315079546,5,11
03-21-2020,283.0,23.0,4.0,60.0,0.0,0.0,0.26905829596412556,0.1933718020167507,4,12
03-22-2020,360.0,24.0,7.0,77.0,3.0,1.0,0.27208480565371024,0.18802337289245077,4,13
03-23-2020,467.0,35.0,8.0,107.0,1.0,11.0,0.2972222222222222,0.22528888515796305,3,14
03-24-2020,519.0,40.0,10.0,52.0,2.0,5.0,0.11134903640256959,0.21237383522048553,4,15
03-25-2020,606.0,43.0,10.0,87.0,0.0,3.0,0.1676300578034682,0.22172244618928127,3,16
03-26-2020,694.0,45.0,15.0,88.0,5.0,2.0,0.14521452145214522,0.22165375436267193,3,17
03-27-2020,724.0,67.0,17.0,30.0,2.0,22.0,0.043227665706051875,0.1865409436006133,4,18
03-28-2020,909.0,80.0,19.0,185.0,2.0,13.0,0.255524861878453,0.18460759587408868,4,19
03-29-2020,1024.0,96.0,27.0,115.0,8.0,16.0,0.1265126512651265,0.16381157381857672,5,20
03-30-2020,1251.0,102.0,31.0,227.0,4.0,6.0,0.2216796875,0.15301978314397352,5,21
03-31-2020,1397.0,124.0,35.0,146.0,4.0,22.0,0.11670663469224621,0.15378515432821308,5,22
04-01-2020,1834.0,144.0,41.0,437.0,6.0,20.0,0.31281317108088763,0.17452559908213014,4,23
04-02-2020,2069.0,156.0,53.0,235.0,12.0,12.0,0.12813522355507087,0.17208569938254809,4,24
04-03-2020,2547.0,163.0,62.0,478.0,9.0,7.0,0.23102948284195263,0.19891453040196244,4,25
04-04-2020,3072.0,213.0,75.0,525.0,13.0,50.0,0.2061248527679623,0.1918573862433209,4,26
04-05-2020,3577.0,275.0,83.0,505.0,8.0,62.0,0.16438802083333334,0.19726815332449332,4,27
04-06-2020,4281.0,319.0,111.0,704.0,28.0,44.0,0.19681297176404808,0.1937157653622145,4,28
04-07-2020,4789.0,353.0,124.0,508.0,13.0,34.0,0.11866386358327494,0.19399536948950427,4,29
04-08-2020,5274.0,411.0,149.0,485.0,25.0,58.0,0.10127375234913343,0.16377545252782508,5,30
04-09-2020,5865.0,478.0,169.0,591.0,20.0,67.0,0.11205915813424346,0.16147887175342118,5,31
04-10-2020,6761.0,516.0,206.0,896.0,37.0,38.0,0.15277067348678602,0.15029904184554024,5,32
04-11-2020,7529.0,653.0,242.0,768.0,36.0,137.0,0.11359266380712912,0.13708015770827836,5,33
04-12-2020,8447.0,765.0,273.0,918.0,31.0,112.0,0.12192854296719352,0.13101451801311553,6,34
04-13-2020,9352.0,980.0,324.0,905.0,51.0,215.0,0.10713862909908843,0.118203897632407,6,35
04-14-2020,10815.0,1190.0,353.0,1463.0,29.0,210.0,0.156437125748503,0.1236000779417253,6,36
04-15-2020,11933.0,1344.0,392.0,1118.0,39.0,154.0,0.10337494220989367,0.12390024792183389,6,37
04-16-2020,12759.0,1515.0,420.0,826.0,28.0,171.0,0.06921981060923489,0.11778034113254696,6,38
04-17-2020,13835.0,1767.0,452.0,1076.0,32.0,252.0,0.08433262794889881,0.10800347748427737,7,39
04-18-2020,14792.0,2015.0,488.0,957.0,36.0,248.0,0.06917238886881098,0.10165772392166048,7,40
04-19-2020,16116.0,2302.0,519.0,1324.0,31.0,287.0,0.08950784207679827,0.09702619522303259,7,41
