state,timestamp,confirmed,recovered,deaths,active,newConfirmed,newRecovered,newDeaths,Days,growthRate,movingAvg,doublingTime
Andaman and Nicobar Islands,03-25-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar Islands,03-26-2020,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Andaman and Nicobar Islands,03-27-2020,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Andaman and Nicobar Islands,03-28-2020,6.0,0.0,0.0,6.0,5.0,0.0,0.0,3.0,5.0,0.0,0.0
Andaman and Nicobar Islands,03-29-2020,9.0,0.0,0.0,9.0,3.0,0.0,0.0,4.0,0.5,0.0,0.0
Andaman and Nicobar Islands,03-30-2020,9.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Andaman and Nicobar Islands,03-31-2020,10.0,0.0,0.0,10.0,1.0,0.0,0.0,6.0,0.1111111111111111,0.0,0.0
Andaman and Nicobar Islands,04-01-2020,10.0,1.0,0.0,9.0,0.0,1.0,0.0,7.0,0.0,0.8015873015873015,1.0
Andaman and Nicobar Islands,04-02-2020,10.0,1.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.8015873015873015,1.0
Andaman and Nicobar Islands,04-03-2020,10.0,1.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.8015873015873015,1.0
Andaman and Nicobar Islands,04-04-2020,10.0,1.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,0.08730158730158724,8.0
Andaman and Nicobar Islands,04-05-2020,10.0,1.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0,0.015873015873015817,44.0
Andaman and Nicobar Islands,04-06-2020,10.0,1.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,0.015873015873015817,44.0
Andaman and Nicobar Islands,04-07-2020,10.0,1.0,0.0,9.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Andaman and Nicobar Islands,04-08-2020,10.0,1.0,0.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Andaman and Nicobar Islands,04-09-2020,11.0,1.0,0.0,10.0,1.0,0.0,0.0,15.0,0.1,0.014285714285714231,49.0
Andaman and Nicobar Islands,04-10-2020,11.0,1.0,0.0,10.0,0.0,0.0,0.0,16.0,0.0,0.014285714285714231,49.0
Andaman and Nicobar Islands,04-11-2020,11.0,1.0,0.0,10.0,0.0,0.0,0.0,17.0,0.0,0.014285714285714231,49.0
Andaman and Nicobar Islands,04-12-2020,11.0,10.0,0.0,1.0,0.0,9.0,0.0,18.0,0.0,0.014285714285714231,49.0
Andaman and Nicobar Islands,04-13-2020,11.0,10.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.014285714285714231,49.0
Andaman and Nicobar Islands,04-14-2020,11.0,10.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.014285714285714231,49.0
Andaman and Nicobar Islands,04-15-2020,11.0,10.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.014285714285714231,49.0
Andaman and Nicobar Islands,04-16-2020,11.0,10.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
